batsman,runs,balls,minutes,fours,sixes,strike_rate,inning,series
Jonny Bairstow ,37,58,61,5,0,63.79,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ben Stokes (c),70,88,122,6,3,79.54,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ben Foakes †,4,24,22,0,0,16.66,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Rehan Ahmed ,13,18,21,1,0,72.22,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Tom Hartley ,23,24,24,2,1,95.83,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Mark Wood ,11,24,24,2,0,45.83,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Jack Leach ,0,3,13,0,0,0.00,England 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Yashasvi Jaiswal ,80,74,96,10,3,108.10,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Rohit Sharma (c),24,27,53,3,0,88.88,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Shubman Gill ,23,66,87,2,0,34.84,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
KL Rahul ,86,123,176,8,2,69.91,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Shreyas Iyer ,35,63,77,3,1,55.55,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ravindra Jadeja ,87,180,290,7,2,48.33,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Srikar Bharat †,41,81,97,3,0,50.61,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ravichandran Ashwin ,1,11,7,0,0,9.09,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Axar Patel ,44,100,134,7,1,44.00,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Jasprit Bumrah ,0,1,1,0,0,0.00,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Mohammed Siraj ,0,2,5,0,0,0.00,India 1st Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Zak Crawley ,31,33,33,4,1,93.93,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ben Duckett ,47,52,73,7,0,90.38,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ollie Pope ,196,278,373,21,0,70.50,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Joe Root ,2,6,13,0,0,33.33,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Jonny Bairstow ,10,24,28,1,0,41.66,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ben Stokes (c),6,33,31,0,0,18.18,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ben Foakes †,34,81,101,2,0,41.97,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Rehan Ahmed ,28,53,61,3,0,52.83,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Tom Hartley ,34,52,71,4,0,65.38,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Mark Wood ,0,7,7,0,0,0.00,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Jack Leach ,0,0,1,0,0,-,England 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Rohit Sharma (c),39,58,76,7,0,67.24,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Yashasvi Jaiswal ,15,35,44,2,0,42.85,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Shubman Gill ,0,2,1,0,0,0.00,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
KL Rahul ,22,48,90,3,0,45.83,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Axar Patel ,17,42,48,3,0,40.47,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Shreyas Iyer ,13,31,45,1,0,41.93,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ravindra Jadeja ,2,20,20,0,0,10.00,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Srikar Bharat †,28,59,96,3,0,47.45,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Ravichandran Ashwin ,28,84,93,2,0,33.33,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Jasprit Bumrah ,6,18,34,0,0,33.33,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Mohammed Siraj ,12,20,27,1,0,60.00,India 2nd Innings,"India vs England, 1st Test at Hyderabad, Jan 25 2024, England tour of India"
Kraigg Brathwaite (c),13,45,62,2,0,28.88,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Tagenarine Chanderpaul ,6,25,42,1,0,24.00,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Kirk McKenzie ,50,94,134,7,0,53.19,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Alick Athanaze ,13,31,41,0,0,41.93,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Kavem Hodge ,12,36,62,2,0,33.33,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Justin Greaves ,5,9,19,1,0,55.55,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Joshua Da Silva †,6,22,34,1,0,27.27,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Alzarri Joseph ,14,21,34,2,0,66.66,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Gudakesh Motie ,1,7,6,0,0,14.28,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Kemar Roach ,17,42,62,2,1,40.47,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Shamar Joseph ,36,41,59,3,1,87.80,West Indies 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Steven Smith ,12,26,33,2,0,46.15,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Usman Khawaja ,45,111,170,6,0,40.54,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Marnus Labuschagne ,10,25,33,1,0,40.00,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Cameron Green ,14,27,35,3,0,51.85,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Travis Head ,119,134,225,12,3,88.80,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Mitchell Marsh ,5,26,26,1,0,19.23,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Alex Carey †,15,40,51,2,0,37.50,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Mitchell Starc ,10,38,55,1,0,26.31,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Pat Cummins (c),12,35,56,1,0,34.28,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Nathan Lyon ,24,34,30,2,1,70.58,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Josh Hazlewood ,0,0,1,0,0,-,Australia 1st Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Kraigg Brathwaite (c),1,11,16,0,0,9.09,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Tagenarine Chanderpaul ,0,1,5,0,0,0.00,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Kirk McKenzie ,26,35,64,4,0,74.28,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Alick Athanaze ,0,11,12,0,0,0.00,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Kavem Hodge ,3,12,18,0,0,25.00,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Justin Greaves ,24,37,61,3,0,64.86,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Joshua Da Silva †,18,44,55,1,0,40.90,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Alzarri Joseph ,16,30,39,3,0,53.33,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Gudakesh Motie ,3,10,15,0,0,30.00,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Kemar Roach ,11,11,25,2,0,100.00,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Shamar Joseph ,15,12,22,3,0,125.00,West Indies 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Steven Smith ,11,22,34,2,0,50.00,Australia 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Usman Khawaja ,9,20,31,1,0,45.00,Australia 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Marnus Labuschagne ,1,2,2,0,0,50.00,Australia 2nd Innings,"Australia vs West Indies, 1st Test at Adelaide, Jan 17 2024, West Indies tour of Australia"
Aiden Markram ,2,10,14,0,0,20.00,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Dean Elgar (c),4,15,25,0,0,26.66,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Tony de Zorzi ,2,17,30,0,0,11.76,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Tristan Stubbs ,3,11,14,0,0,27.27,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
David Bedingham ,12,17,33,2,0,70.58,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Kyle Verreynne †,15,30,43,1,0,50.00,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Marco Jansen ,0,3,2,0,0,0.00,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Keshav Maharaj ,3,13,20,0,0,23.07,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Kagiso Rabada ,5,13,26,0,0,38.46,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Nandre Burger ,4,11,13,1,0,36.36,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Lungi Ngidi ,0,0,1,0,0,-,South Africa 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Yashasvi Jaiswal ,0,7,10,0,0,0.00,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Rohit Sharma (c),39,50,68,7,0,78.00,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Shubman Gill ,36,55,87,5,0,65.45,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Virat Kohli ,46,59,103,6,1,77.96,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Shreyas Iyer ,0,2,6,0,0,0.00,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
KL Rahul †,8,33,51,1,0,24.24,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Ravindra Jadeja ,0,2,1,0,0,0.00,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Jasprit Bumrah ,0,2,1,0,0,0.00,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Mohammed Siraj ,0,1,12,0,0,0.00,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Prasidh Krishna ,0,3,8,0,0,0.00,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Mukesh Kumar ,0,0,1,0,0,-,India 1st Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Aiden Markram ,106,103,164,17,2,102.91,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Dean Elgar (c),12,28,41,2,0,42.85,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Tony de Zorzi ,1,7,8,0,0,14.28,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Tristan Stubbs ,1,14,14,0,0,7.14,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
David Bedingham ,11,12,13,2,0,91.66,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Kyle Verreynne †,9,7,22,1,0,128.57,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Marco Jansen ,11,9,12,2,0,122.22,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Keshav Maharaj ,3,4,8,0,0,75.00,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Kagiso Rabada ,2,12,39,0,0,16.66,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Nandre Burger ,6,20,25,1,0,30.00,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Lungi Ngidi ,8,10,22,0,0,80.00,South Africa 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Yashasvi Jaiswal ,28,23,25,6,0,121.73,India 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Rohit Sharma (c),16,22,57,2,0,72.72,India 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Shubman Gill ,10,11,12,2,0,90.90,India 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Virat Kohli ,12,11,13,2,0,109.09,India 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Shreyas Iyer ,4,6,4,1,0,66.66,India 2nd Innings,"South Africa vs India, 2nd Test at Cape Town, Jan 03 2024, India tour of South Africa"
Abdullah Shafique ,0,2,1,0,0,0.00,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Saim Ayub ,0,2,7,0,0,0.00,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Shan Masood (c),35,70,146,3,0,50.00,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Babar Azam ,26,40,46,4,0,65.00,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Saud Shakeel ,5,12,18,0,0,41.66,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Mohammad Rizwan †,88,103,153,10,2,85.43,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Agha Salman ,53,67,120,8,0,79.10,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Sajid Khan ,15,23,28,2,0,65.21,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Aamer Jamal ,82,97,115,9,4,84.53,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Hasan Ali ,0,5,8,0,0,0.00,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Mir Hamza ,7,43,96,1,0,16.27,Pakistan 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
David Warner ,34,68,100,4,0,50.00,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Usman Khawaja ,47,143,175,4,0,32.86,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Marnus Labuschagne ,60,147,221,6,0,40.81,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Steven Smith ,38,86,187,3,0,44.18,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Travis Head ,10,29,45,0,0,34.48,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Mitchell Marsh ,54,113,147,6,0,47.78,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Alex Carey †,38,58,105,3,0,65.51,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Mitchell Starc ,1,9,20,0,0,11.11,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Pat Cummins (c),0,2,3,0,0,0.00,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Nathan Lyon ,5,3,8,1,0,166.66,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Josh Hazlewood ,0,2,1,0,0,0.00,Australia 1st Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Abdullah Shafique ,0,6,4,0,0,0.00,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Saim Ayub ,33,53,85,3,1,62.26,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Shan Masood (c),0,1,2,0,0,0.00,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Babar Azam ,23,52,85,1,0,44.23,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Saud Shakeel ,2,19,23,0,0,10.52,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Mohammad Rizwan †,28,57,79,1,0,49.12,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Sajid Khan ,0,2,2,0,0,0.00,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Agha Salman ,0,2,2,0,0,0.00,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Aamer Jamal ,18,47,63,2,0,38.29,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Hasan Ali ,5,9,17,0,0,55.55,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Mir Hamza ,1,11,13,0,0,9.09,Pakistan 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Usman Khawaja ,0,6,3,0,0,0.00,Australia 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
David Warner ,57,75,97,7,0,76.00,Australia 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Marnus Labuschagne ,62,73,100,9,0,84.93,Australia 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Steven Smith ,4,1,6,1,0,400.00,Australia 2nd Innings,"Australia vs Pakistan, 3rd Test at Sydney, Jan 03 2024, Pakistan tour of Australia"
Yashasvi Jaiswal ,17,37,40,4,0,45.94,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Rohit Sharma (c),5,14,20,1,0,35.71,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Shubman Gill ,2,12,29,0,0,16.66,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Virat Kohli ,38,64,96,5,0,59.37,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Shreyas Iyer ,31,50,67,3,1,62.00,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
KL Rahul †,101,137,199,14,4,73.72,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Ravichandran Ashwin ,8,11,13,2,0,72.72,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Shardul Thakur ,24,33,56,3,0,72.72,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Jasprit Bumrah ,1,19,37,0,0,5.26,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Mohammed Siraj ,5,22,54,0,0,22.72,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Prasidh Krishna ,0,8,10,0,0,0.00,India 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Aiden Markram ,5,17,19,1,0,29.41,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Dean Elgar ,185,287,425,28,0,64.45,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Tony de Zorzi ,28,62,108,5,0,45.16,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Keegan Petersen ,2,7,9,0,0,28.57,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
David Bedingham ,56,87,137,7,2,64.36,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Kyle Verreynne †,4,7,9,1,0,57.14,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Marco Jansen ,84,147,202,11,1,57.14,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Gerald Coetzee ,19,18,19,2,1,105.55,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Kagiso Rabada ,1,9,5,0,0,11.11,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Nandre Burger ,0,20,34,0,0,0.00,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Temba Bavuma (c),-,-,-,-,-,-,South Africa 1st Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Yashasvi Jaiswal ,5,18,22,1,0,27.77,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Rohit Sharma (c),0,8,10,0,0,0.00,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Shubman Gill ,26,37,49,6,0,70.27,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Virat Kohli ,76,82,137,12,1,92.68,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Shreyas Iyer ,6,12,18,1,0,50.00,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
KL Rahul †,4,24,33,1,0,16.66,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Ravichandran Ashwin ,0,1,1,0,0,0.00,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Shardul Thakur ,2,8,11,0,0,25.00,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Jasprit Bumrah ,0,5,8,0,0,0.00,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Mohammed Siraj ,4,5,8,1,0,80.00,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
Prasidh Krishna ,0,5,11,0,0,0.00,India 2nd Innings,"South Africa vs India, 1st Test at Centurion, Dec 26 2023, India tour of South Africa"
David Warner ,38,83,120,3,0,45.78,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
